title,movie_rating,run_time,meta_score,imdb_rating,director,writer,actor,genre_name,Year,Predictions_BoxOffice,Predictions_Upcoming,label_boxoffice
Corky Romano,PG-13,86.0,0.0,4.7,Rob Pritts,David Garrett,Chris Kattan,Comedy,2001,1.0,0.0,0.0
The Sum of All Fears,PG-13,124.0,0.0,6.4,Phil Alden Robinson,Tom Clancy,Ben Affleck,Action,2002,1.0,0.0,0.0
Star Wars: Episode II - Attack of the Clones,PG,142.0,0.0,6.5,George Lucas,George Lucas,Hayden Christensen,Action,2002,1.0,0.0,0.0
Austin Powers in Goldmember,PG-13,94.0,0.0,6.2,Jay Roach,Mike Myers,Mike Myers,Action,2002,1.0,0.0,0.0
Ice Age,PG,81.0,0.0,7.5,Chris Wedge,Michael J. Wilson,Denis Leary,Animation,2002,1.0,0.0,0.0
My Big Fat Greek Wedding,PG,95.0,0.0,6.6,Joel Zwick,Nia Vardalos,Nia Vardalos,Comedy,2002,1.0,0.0,0.0
We Were Soldiers,R,138.0,0.0,7.2,Randall Wallace,Harold G. Moore,Mel Gibson,Action,2002,1.0,0.0,0.0
xXx,PG-13,124.0,0.0,5.9,Rob Cohen,Rich Wilkes,Vin Diesel,Action,2002,1.0,0.0,0.0
The Scorpion King,PG-13,92.0,0.0,5.5,Chuck Russell,Stephen Sommers,Dwayne Johnson,Action,2002,1.0,0.0,0.0
Die Another Day,PG-13,133.0,0.0,6.1,Lee Tamahori,Ian Fleming,Pierce Brosnan,Action,2002,1.0,0.0,0.0
Ghost Ship,R,91.0,0.0,5.5,Steve Beck,Mark Hanlon,Julianna Margulies,Horror,2002,1.0,0.0,0.0
Spirit: Stallion of the Cimarron,G,83.0,0.0,7.2,Kelly Asbury,John Fusco,Matt Damon,Animation,2002,1.0,0.0,0.0
Phone Booth,R,81.0,0.0,7.0,Joel Schumacher,Larry Cohen,Colin Farrell,Crime,2003,1.0,0.0,0.0
Cabin Fever,R,93.0,0.0,5.6,Eli Roth,Eli Roth,Jordan Ladd,Horror,2003,1.0,0.0,0.0
25th Hour,R,135.0,0.0,7.6,Spike Lee,David Benioff,Edward Norton,Drama,2003,1.0,0.0,0.0
Infernal Affairs,R,101.0,0.0,8.0,Andrew Lau,Alan Mak,Andy Lau,Action,2002,1.0,0.0,0.0
The Rules of Attraction,R,110.0,0.0,6.6,Roger Avary,Bret Easton Ellis,James Van Der Beek,Comedy,2002,1.0,0.0,0.0
Antwone Fisher,PG-13,120.0,0.0,7.3,Denzel Washington,Antwone Fisher,Denzel Washington,Biography,2003,1.0,0.0,0.0
Sympathy for Mr. Vengeance,R,129.0,0.0,7.6,Park Chan-Wook,Myeong-chan Park,Kang-ho Song,Crime,2002,1.0,0.0,0.0
High Crimes,PG-13,115.0,0.0,6.4,Carl Franklin,Joseph Finder,Jim Caviezel,Crime,2002,1.0,0.0,0.0
Two Weeks Notice,PG-13,101.0,0.0,6.1,Marc Lawrence,Marc Lawrence,Sandra Bullock,Comedy,2002,1.0,0.0,0.0
Asterix & Obelix: Mission Cleopatra,PG,107.0,0.0,6.7,Alain Chabat,René Goscinny,Gérard Depardieu,Adventure,2005,1.0,0.0,0.0
Swept Away,R,89.0,0.0,3.6,Guy Ritchie,Guy Ritchie,Madonna,Comedy,2002,1.0,0.0,0.0
Juwanna Mann,PG-13,91.0,0.0,4.6,Jesse Vaughan,Bradley Allenstein,Miguel A. Núñez Jr.,Comedy,2002,1.0,0.0,0.0
Divine Secrets of the Ya-Ya Sisterhood,PG-13,116.0,0.0,6.1,Callie Khouri,Rebecca Wells,Sandra Bullock,Drama,2002,1.0,0.0,0.0
Swimfan,PG-13,85.0,0.0,5.1,John Polson,Charles F. Bohl,Jesse Bradford,Drama,2002,1.0,0.0,0.0
Talk to Her,R,112.0,0.0,7.9,Pedro Almodóvar,Pedro Almodóvar,Rosario Flores,Drama,2003,1.0,0.0,0.0
Far from Heaven,PG-13,107.0,0.0,7.4,Todd Haynes,Todd Haynes,Julianne Moore,Drama,2003,1.0,0.0,0.0
Auto Focus,R,105.0,0.0,6.6,Paul Schrader,Robert Graysmith,Greg Kinnear,Biography,2002,1.0,0.0,0.0
Collateral Damage,R,108.0,0.0,5.5,Andrew Davis,Ronald Roose,Arnold Schwarzenegger,Action,2002,1.0,0.0,0.0
Undisputed,R,94.0,0.0,6.2,Walter Hill,David Giler,Wesley Snipes,Action,2002,1.0,0.0,0.0
Whale Rider,PG-13,101.0,0.0,7.5,Niki Caro,Niki Caro,Keisha Castle-Hughes,Drama,2003,1.0,0.0,0.0
Trapped,R,106.0,0.0,6.2,Luis Mandoki,Greg Iles,Kevin Bacon,Action,2002,1.0,0.0,0.0
In America,PG-13,105.0,0.0,7.7,Jim Sheridan,Jim Sheridan,Paddy Considine,Drama,2004,1.0,0.0,0.0
The Quiet American,R,101.0,0.0,7.1,Phillip Noyce,Graham Greene,Michael Caine,Drama,2003,1.0,0.0,0.0
The Santa Clause 2,G,104.0,0.0,5.7,Michael Lembeck,Don Rhymer,Tim Allen,Comedy,2002,1.0,0.0,0.0
Sorority Boys,R,93.0,0.0,5.5,Wallace Wolodarsky,Joe Jarvis,Barry Watson,Comedy,2002,1.0,0.0,0.0
The Country Bears,G,88.0,0.0,4.2,Peter Hastings,Mark Perez,Haley Joel Osment,Comedy,2002,1.0,0.0,0.0
All About the Benjamins,R,95.0,0.0,5.9,Kevin Bray,Ronald Lang,Ice Cube,Action,2002,1.0,0.0,0.0
Darkness,PG-13,88.0,0.0,5.4,Jaume Balagueró,Jaume Balagueró,Anna Paquin,Horror,2004,1.0,0.0,0.0
Moonlight Mile,PG-13,117.0,0.0,6.6,Brad Silberling,Brad Silberling,Jake Gyllenhaal,Drama,2002,1.0,0.0,0.0
Half Past Dead,PG-13,98.0,0.0,4.6,Don Michael Paul,Don Michael Paul,Morris Chestnut,Action,2002,1.0,0.0,0.0
Open Hearts,R,113.0,0.0,7.5,Susanne Bier,Susanne Bier,Sonja Richter,Drama,2002,1.0,0.0,0.0
Deuces Wild,R,96.0,0.0,5.6,Scott Kalvert,Paul Kimatian,Stephen Dorff,Action,2002,1.0,0.0,0.0
Pirates of the Caribbean: the Curse of the Black Pearl,PG-13,143.0,0.0,8.0,Gore Verbinski,Ted Elliott,Johnny Depp,Action,2003,1.0,0.0,0.0
The Life of David Gale,R,130.0,0.0,7.5,Alan Parker,Charles Randolph,Kevin Spacey,Crime,2003,1.0,0.0,0.0
The Italian Job,PG-13,111.0,0.0,7.0,F. Gary Gray,Troy Kennedy-Martin,Donald Sutherland,Action,2003,1.0,0.0,0.0
Monster,R,109.0,0.0,7.3,Patty Jenkins,Patty Jenkins,Charlize Theron,Biography,2004,1.0,0.0,0.0
Daredevil,PG-13,103.0,0.0,5.3,Mark Steven Johnson,Mark Steven Johnson,Ben Affleck,Action,2003,1.0,0.0,0.0
The Missing,R,137.0,0.0,6.5,Ron Howard,Thomas Eidson,Tommy Lee Jones,Adventure,2003,1.0,0.0,0.0
Holes,PG,117.0,0.0,7.0,Andrew Davis,Louis Sachar,Shia LaBeouf,Adventure,2003,1.0,0.0,0.0
The Rundown,PG-13,104.0,0.0,6.7,Peter Berg,R.J. Stewart,Dwayne Johnson,Action,2003,1.0,0.0,0.0
Once Upon a Time in Mexico,R,102.0,0.0,6.4,Robert Rodriguez,Robert Rodriguez,Antonio Banderas,Action,2003,1.0,0.0,0.0
In the Cut,R,119.0,0.0,5.3,Jane Campion,Jane Campion,Meg Ryan,Mystery,2003,1.0,0.0,0.0
Bad Boys II,R,147.0,0.0,6.6,Michael Bay,George Gallo,Will Smith,Action,2003,1.0,0.0,0.0
Open Range,R,139.0,0.0,7.4,Kevin Costner,Lauran Paine,Kevin Costner,Action,2003,1.0,0.0,0.0
Bruce Almighty,PG-13,101.0,0.0,6.7,Tom Shadyac,Steve Koren,Jim Carrey,Comedy,2003,1.0,0.0,0.0
Charlie's Angels: Full Throttle,PG-13,106.0,0.0,4.9,McG,Ivan Goff,Drew Barrymore,Action,2003,1.0,0.0,0.0
Open Water,R,79.0,0.0,5.7,Chris Kentis,Chris Kentis,Blanchard Ryan,Adventure,2004,1.0,0.0,0.0
Something's Gotta Give,PG-13,128.0,0.0,6.7,Nancy Meyers,Nancy Meyers,Jack Nicholson,Comedy,2003,1.0,0.0,0.0
Girl with a Pearl Earring,PG-13,100.0,0.0,6.9,Peter Webber,Tracy Chevalier,Scarlett Johansson,Biography,2004,1.0,0.0,0.0
The Brown Bunny,Not Rated,93.0,0.0,5.0,Vincent Gallo,Vincent Gallo,Vincent Gallo,Drama,2003,1.0,0.0,0.0
Intolerable Cruelty,PG-13,100.0,0.0,6.2,Joel Coen,Robert Ramsey,George Clooney,Comedy,2003,1.0,0.0,0.0
Under the Tuscan Sun,PG-13,113.0,0.0,6.8,Audrey Wells,Frances Mayes,Diane Lane,Comedy,2003,1.0,0.0,0.0
Elephant,R,81.0,0.0,7.2,Gus Van Sant,Gus Van Sant,Elias McConnell,Crime,2003,1.0,0.0,0.0
Darkness Falls,PG-13,86.0,0.0,5.0,Jonathan Liebesman,Joe Harris,Chaney Kley,Fantasy,2003,1.0,0.0,0.0
Spy Kids 3-D: Game Over,PG,84.0,0.0,4.3,Robert Rodriguez,Robert Rodriguez,Daryl Sabara,Action,2003,1.0,0.0,0.0
Daddy Day Care,PG,92.0,0.0,5.6,Steve Carr,Geoff Rodkey,Eddie Murphy,Comedy,2003,1.0,0.0,0.0
Wonderland,R,104.0,0.0,6.6,James Cox,James Cox,Val Kilmer,Crime,2003,1.0,0.0,0.0
Gods and Generals,PG-13,219.0,0.0,6.3,Ron Maxwell,Jeff Shaara,Stephen Lang,Biography,2003,1.0,0.0,0.0
House of Sand and Fog,R,126.0,0.0,7.5,Vadim Perelman,Andre Dubus III,Jennifer Connelly,Crime,2004,1.0,0.0,0.0
Basic,R,98.0,0.0,6.5,John McTiernan,James Vanderbilt,John Travolta,Action,2003,1.0,0.0,0.0
Agent Cody Banks,PG,102.0,0.0,5.1,Harald Zwart,Ashley Miller,Frankie Muniz,Action,2003,1.0,0.0,0.0
Cold Creek Manor,R,118.0,0.0,5.0,Mike Figgis,Richard Jefferies,Dennis Quaid,Drama,2003,1.0,0.0,0.0
View from the Top,PG-13,87.0,0.0,5.3,Bruno Barreto,Eric Wald,Gwyneth Paltrow,Comedy,2003,1.0,0.0,0.0
The Return,Not Rated,110.0,0.0,8.0,Andrey Zvyagintsev,Vladimir Moiseenko,Vladimir Garin,Drama,2003,1.0,0.0,0.0
Radio,PG,109.0,0.0,6.9,Michael Tollin,Mike Rich,Cuba Gooding Jr.,Biography,2003,1.0,0.0,0.0
Tokyo Godfathers,PG-13,92.0,0.0,7.8,Satoshi Kon,Satoshi Kon,Tôru Emori,Animation,2003,1.0,0.0,0.0
Dorm Daze,R,96.0,0.0,4.6,David Hillenbrand,Pat Casey,Tatyana Ali,Comedy,2004,1.0,0.0,0.0
Bright Young Things,R,102.0,0.0,6.6,Stephen Fry,Stephen Fry,Stephen Campbell Moore,Comedy,2003,1.0,0.0,0.0
Love Me If You Dare,R,93.0,0.0,7.6,Yann Samuell,Yann Samuell,Guillaume Canet,Comedy,2004,1.0,0.0,0.0
The Green Butchers,R,100.0,0.0,7.3,Anders Thomas Jensen,Anders Thomas Jensen,Nikolaj Lie Kaas,Comedy,2003,1.0,0.0,0.0
Willard,PG-13,100.0,0.0,6.1,Glen Morgan,Glen Morgan,Crispin Glover,Drama,2003,1.0,0.0,0.0
Love Don't Cost a Thing,PG-13,100.0,0.0,5.2,Troy Byer,Michael Swerdlick,Nick Cannon,Comedy,2003,1.0,0.0,0.0
The Best of Youth,R,366.0,0.0,8.5,Marco Tullio Giordana,Sandro Petraglia,Luigi Lo Cascio,Drama,2003,1.0,0.0,0.0
The in-Laws,PG-13,98.0,0.0,5.7,Andrew Fleming,Andrew Bergman,Albert Brooks,Action,2003,1.0,0.0,0.0
It Runs in the Family,PG-13,109.0,0.0,5.6,Fred Schepisi,Jesse Wigutow,Kirk Douglas,Comedy,2003,1.0,0.0,0.0
The Fighting Temptations,PG-13,123.0,0.0,5.6,Jonathan Lynn,Elizabeth Hunter,Cuba Gooding Jr.,Comedy,2003,1.0,0.0,0.0
Anything Else,R,108.0,0.0,6.3,Woody Allen,Woody Allen,Woody Allen,Comedy,2003,1.0,0.0,0.0
Camp,PG-13,114.0,0.0,6.2,Todd Graff,Todd Graff,Don Dixon,Comedy,2003,1.0,0.0,0.0
The Jungle Book 2,G,72.0,0.0,5.4,Steve Trenbirth,Karl Geurs,John Goodman,Animation,2003,1.0,0.0,0.0
Intermission,R,105.0,0.0,6.8,John Crowley,Mark O'Rowe,Cillian Murphy,Comedy,2004,1.0,0.0,0.0
All the Real Girls,R,108.0,0.0,6.8,David Gordon Green,David Gordon Green,Zooey Deschanel,Drama,2003,1.0,0.0,0.0
Head of State,PG-13,95.0,0.0,5.5,Chris Rock,Chris Rock,Chris Rock,Comedy,2003,1.0,0.0,0.0
The Order,R,102.0,0.0,5.2,Brian Helgeland,Brian Helgeland,Heath Ledger,Horror,2003,1.0,0.0,0.0
Sylvia,R,100.0,0.0,6.3,Christine Jeffs,John Brownlow,Gwyneth Paltrow,Biography,2003,1.0,0.0,0.0
My Life Without Me,R,106.0,0.0,7.5,Isabel Coixet,Isabel Coixet,Sarah Polley,Drama,2003,1.0,0.0,0.0
Dodgeball: A True Underdog Story,PG-13,92.0,0.0,6.7,Rawson Marshall Thurber,Rawson Marshall Thurber,Ben Stiller,Comedy,2004,1.0,0.0,0.0
Mean Girls,PG-13,97.0,0.0,7.0,Mark Waters,Rosalind Wiseman,Lindsay Lohan,Comedy,2004,1.0,0.0,0.0
Eternal Sunshine of the Spotless Mind,R,108.0,0.0,8.3,Michel Gondry,Charlie Kaufman,Jim Carrey,Drama,2004,1.0,0.0,0.0
Kill Bill: Vol. 2,R,137.0,0.0,8.0,Quentin Tarantino,Quentin Tarantino,Uma Thurman,Action,2004,1.0,0.0,0.0
Saw,R,103.0,0.0,7.6,James Wan,Leigh Whannell,Cary Elwes,Horror,2004,1.0,0.0,0.0
"I, Robot",PG-13,115.0,0.0,7.1,Alex Proyas,Jeff Vintar,Will Smith,Action,2004,1.0,0.0,0.0
Howl's Moving Castle,PG,119.0,0.0,8.2,Hayao Miyazaki,Hayao Miyazaki,Chieko Baishô,Animation,2005,1.0,0.0,0.0
My Summer of Love,R,86.0,0.0,6.7,Pawel Pawlikowski,Helen Cross,Natalie Press,Drama,2005,1.0,0.0,0.0
50 First Dates,PG-13,99.0,0.0,6.8,Peter Segal,George Wing,Adam Sandler,Comedy,2004,1.0,0.0,0.0
Downfall,R,156.0,0.0,8.2,Oliver Hirschbiegel,Bernd Eichinger,Bruno Ganz,Biography,2005,1.0,0.0,0.0
Shrek 2,PG,93.0,0.0,7.2,Andrew Adamson,William Steig,Mike Myers,Animation,2004,1.0,0.0,0.0
Dawn of the Dead,R,101.0,0.0,7.3,Zack Snyder,George A. Romero,Sarah Polley,Action,2004,1.0,0.0,0.0
Anchorman: The Legend of Ron Burgundy,PG-13,94.0,0.0,7.2,Adam McKay,Will Ferrell,Will Ferrell,Comedy,2004,1.0,0.0,0.0
9 Songs,Not Rated,71.0,0.0,4.8,Michael Winterbottom,Michael Winterbottom,Kieran O'Brien,Drama,2005,1.0,0.0,0.0
Meet the Fockers,PG-13,115.0,0.0,6.3,Jay Roach,Greg Glienna,Ben Stiller,Comedy,2004,1.0,0.0,0.0
Sideways,R,127.0,0.0,7.5,Alexander Payne,Rex Pickett,Paul Giamatti,Comedy,2004,1.0,0.0,0.0
Starsky & Hutch,PG-13,101.0,0.0,6.1,Todd Phillips,William Blinn,Ben Stiller,Comedy,2004,1.0,0.0,0.0
Shark Tale,PG,90.0,0.0,6.0,Bibo Bergeron,Michael J. Wilson,Will Smith,Animation,2004,1.0,0.0,0.0
Primer,PG-13,77.0,0.0,6.9,Shane Carruth,Shane Carruth,Shane Carruth,Drama,2005,1.0,0.0,0.0
Somersault,Not Rated,106.0,0.0,6.7,Cate Shortland,Cate Shortland,Abbie Cornish,Drama,2004,1.0,0.0,0.0
The SpongeBob SquarePants Movie,PG,87.0,0.0,7.1,Stephen Hillenburg,Derek Drymon,Tom Kenny,Animation,2004,1.0,0.0,0.0
The Princess Diaries 2: Royal Engagement,G,113.0,0.0,5.8,Garry Marshall,Meg Cabot,Anne Hathaway,Comedy,2004,1.0,0.0,0.0
Catwoman,PG-13,104.0,0.0,3.4,Pitof,Bob Kane,Halle Berry,Action,2004,1.0,0.0,0.0
Seed of Chucky,R,87.0,0.0,4.8,Don Mancini,Don Mancini,Jennifer Tilly,Comedy,2004,1.0,0.0,0.0
Torque,PG-13,84.0,0.0,4.1,Joseph Kahn,Matt Johnson,Martin Henderson,Action,2004,1.0,0.0,0.0
Around the World in 80 Days,PG,120.0,0.0,5.9,Frank Coraci,Jules Verne,Jackie Chan,Action,2004,1.0,0.0,0.0
Mindhunters,R,106.0,0.0,6.4,Renny Harlin,Wayne Kramer,Val Kilmer,Crime,2005,1.0,0.0,0.0
The Heart Is Deceitful Above All Things,R,97.0,0.0,6.4,Asia Argento,Laura Albert,Asia Argento,Drama,2005,1.0,0.0,0.0
Sky Captain and the World of Tomorrow,PG,106.0,0.0,6.0,Kerry Conran,Kerry Conran,Gwyneth Paltrow,Action,2004,1.0,0.0,0.0
District B13,R,84.0,0.0,7.1,Pierre Morel,Luc Besson,Cyril Raffaelli,Action,2006,1.0,0.0,0.0
A Very Long Engagement,R,133.0,0.0,7.6,Jean-Pierre Jeunet,Sébastien Japrisot,Audrey Tautou,Drama,2005,1.0,0.0,0.0
Saved!,PG-13,92.0,0.0,6.7,Brian Dannelly,Brian Dannelly,Jena Malone,Comedy,2004,1.0,0.0,0.0
Bridget Jones: The Edge of Reason,R,108.0,0.0,6.0,Beeban Kidron,Helen Fielding,Renée Zellweger,Comedy,2004,1.0,0.0,0.0
Dirty Dancing: Havana Nights,PG-13,86.0,0.0,6.0,Guy Ferland,Kate Gunzinger,Diego Luna,Drama,2004,1.0,0.0,0.0
D.E.B.S.,PG-13,91.0,0.0,5.3,Angela Robinson,Angela Robinson,Sara Foster,Action,2005,1.0,0.0,0.0
Vanity Fair,PG-13,141.0,0.0,6.2,Mira Nair,Matthew Faulk,Reese Witherspoon,Drama,2004,1.0,0.0,0.0
Swades,Not Rated,189.0,0.0,8.2,Ashutosh Gowariker,M.G. Sathya,Shah Rukh Khan,Drama,2004,1.0,0.0,0.0
I Heart Huckabees,R,107.0,0.0,6.6,David O. Russell,David O. Russell,Jason Schwartzman,Comedy,2004,1.0,0.0,0.0
The Door in the Floor,R,111.0,0.0,6.7,Tod Williams,John Irving,Jeff Bridges,Comedy,2004,1.0,0.0,0.0
The Whole Ten Yards,PG-13,98.0,0.0,5.5,Howard Deutch,Mitchell Kapner,Bruce Willis,Comedy,2004,1.0,0.0,0.0
Envy,PG-13,99.0,0.0,4.8,Barry Levinson,Steve Adams,Ben Stiller,Comedy,2004,1.0,0.0,0.0
Alfie,R,103.0,0.0,6.2,Charles Shyer,Bill Naughton,Jude Law,Comedy,2004,1.0,0.0,0.0
Nobody Knows,PG-13,141.0,0.0,8.1,Hirokazu Koreeda,Hirokazu Koreeda,Yûya Yagira,Drama,2004,1.0,0.0,0.0
The Woodsman,R,87.0,0.0,7.2,Nicole Kassell,Steven Fechter,Kevin Bacon,Drama,2005,1.0,0.0,0.0
Ladder 49,PG-13,115.0,0.0,6.5,Jay Russell,Lewis Colick,Joaquin Phoenix,Action,2004,1.0,0.0,0.0
You Got Served,PG-13,95.0,0.0,3.9,Chris Stokes,Chris Stokes,Omarion,Drama,2004,1.0,0.0,0.0
Beyond the Sea,PG-13,118.0,0.0,6.7,Kevin Spacey,Kevin Spacey,Kevin Spacey,Biography,2004,1.0,0.0,0.0
Ladies in Lavender,PG-13,104.0,0.0,7.0,Charles Dance,William J. Locke,Judi Dench,Drama,2005,1.0,0.0,0.0
Maria Full of Grace,R,101.0,0.0,7.4,Joshua Marston,Joshua Marston,Catalina Sandino Moreno,Crime,2004,1.0,0.0,0.0
It's All Gone Pete Tong,R,90.0,0.0,7.3,Michael Dowse,Michael Dowse,Paul Kaye,Biography,2005,1.0,0.0,0.0
Welcome to Mooseport,PG-13,110.0,0.0,5.2,Donald Petrie,Doug Richardson,Gene Hackman,Comedy,2004,1.0,0.0,0.0
Melinda and Melinda,PG-13,99.0,0.0,6.4,Woody Allen,Woody Allen,Will Ferrell,Comedy,2005,1.0,0.0,0.0
King Kong,PG-13,187.0,0.0,7.2,Peter Jackson,Fran Walsh,Naomi Watts,Action,2005,1.0,0.0,0.0
The Hitchhiker's Guide to the Galaxy,PG,109.0,0.0,6.7,Garth Jennings,Douglas Adams,Martin Freeman,Adventure,2005,1.0,0.0,0.0
Green Street Hooligans,R,109.0,0.0,7.4,Lexi Alexander,Lexi Alexander,Elijah Wood,Crime,2005,1.0,0.0,0.0
House of Wax,R,113.0,0.0,5.4,Jaume Collet-Serra,Charles Belden,Chad Michael Murray,Horror,2005,1.0,0.0,0.0
Four Brothers,R,109.0,0.0,6.8,John Singleton,David Elliot,Mark Wahlberg,Action,2005,1.0,0.0,0.0
The Interpreter,PG-13,128.0,0.0,6.4,Sydney Pollack,Martin Stellman,Nicole Kidman,Crime,2005,1.0,0.0,0.0
Walk the Line,PG-13,136.0,0.0,7.8,James Mangold,Johnny Cash,Joaquin Phoenix,Biography,2005,1.0,0.0,0.0
Lords of Dogtown,PG-13,107.0,0.0,7.1,Catherine Hardwicke,Stacy Peralta,Heath Ledger,Biography,2005,1.0,0.0,0.0
Munich,R,164.0,0.0,7.5,Steven Spielberg,Tony Kushner,Eric Bana,Action,2006,1.0,0.0,0.0
Hitch,PG-13,118.0,0.0,6.6,Andy Tennant,Kevin Bisch,Will Smith,Comedy,2005,1.0,0.0,0.0
Rent,PG-13,135.0,0.0,6.9,Chris Columbus,Stephen Chbosky,Taye Diggs,Drama,2005,1.0,0.0,0.0
Jarhead,R,125.0,0.0,7.0,Sam Mendes,William Broyles Jr.,Jake Gyllenhaal,Action,2005,1.0,0.0,0.0
Into the Blue,PG-13,110.0,0.0,5.9,John Stockwell,Matt Johnson,Paul Walker,Action,2005,1.0,0.0,0.0
Revolver,R,111.0,0.0,6.4,Guy Ritchie,Luc Besson,Jason Statham,Action,2005,1.0,0.0,0.0
Zathura: A Space Adventure,PG,101.0,0.0,6.2,Jon Favreau,Chris Van Allsburg,Josh Hutcherson,Action,2005,1.0,0.0,0.0
Be Cool,PG-13,118.0,0.0,5.6,F. Gary Gray,Elmore Leonard,John Travolta,Comedy,2005,1.0,0.0,0.0
The Brothers Grimm,PG-13,118.0,0.0,5.9,Terry Gilliam,Ehren Kruger,Matt Damon,Action,2005,1.0,0.0,0.0
Wolf Creek,R,99.0,0.0,6.2,Greg McLean,Greg McLean,Nathan Phillips,Horror,2005,1.0,0.0,0.0
The Legend of Zorro,PG,129.0,0.0,6.0,Martin Campbell,Roberto Orci,Antonio Banderas,Action,2005,1.0,0.0,0.0
Cheaper by the Dozen 2,PG,94.0,0.0,5.5,Adam Shankman,Sam Harper,Steve Martin,Adventure,2005,1.0,0.0,0.0
Kicking & Screaming,PG,95.0,0.0,5.6,Jesse Dylan,Leo Benvenuti,Will Ferrell,Comedy,2005,1.0,0.0,0.0
The Cave,PG-13,97.0,0.0,5.1,Bruce Hunt,Michael Steinberg,Piper Perabo,Action,2005,1.0,0.0,0.0
The Skeleton Key,PG-13,104.0,0.0,6.5,Iain Softley,Ehren Kruger,Kate Hudson,Drama,2005,1.0,0.0,0.0
Chicken Little,G,81.0,0.0,5.7,Mark Dindal,Mark Dindal,Zach Braff,Animation,2005,1.0,0.0,0.0
The Ring Two,PG-13,110.0,0.0,5.4,Hideo Nakata,Ehren Kruger,Naomi Watts,Horror,2005,1.0,0.0,0.0
London,R,92.0,0.0,6.5,Hunter Richards,Hunter Richards,Jessica Biel,Drama,2006,1.0,0.0,0.0
Casanova,R,112.0,0.0,6.5,Lasse Hallström,Jeffrey Hatcher,Heath Ledger,Adventure,2006,1.0,0.0,0.0
Thank You for Smoking,R,92.0,0.0,7.6,Jason Reitman,Jason Reitman,Aaron Eckhart,Comedy,2006,1.0,0.0,0.0
Miss Congeniality 2: Armed & Fabulous,PG-13,115.0,0.0,5.1,John Pasquin,Marc Lawrence,Sandra Bullock,Action,2005,1.0,0.0,0.0
The Greatest Game Ever Played,PG,120.0,0.0,7.4,Bill Paxton,Mark Frost,Shia LaBeouf,Biography,2005,1.0,0.0,0.0
Hoodwinked,PG,80.0,0.0,6.4,Cory Edwards,Todd Edwards,Anne Hathaway,Animation,2006,1.0,0.0,0.0
Adam's Apples,R,94.0,0.0,7.8,Anders Thomas Jensen,Anders Thomas Jensen,Ulrich Thomsen,Comedy,2005,1.0,0.0,0.0
BloodRayne,R,95.0,0.0,2.9,Uwe Boll,Guinevere Turner,Kristanna Loken,Action,2006,1.0,0.0,0.0
The Notorious Bettie Page,R,91.0,0.0,6.5,Mary Harron,Mary Harron,Gretchen Mol,Biography,2006,1.0,0.0,0.0
"Good Night, and Good Luck.",PG,93.0,0.0,7.4,George Clooney,George Clooney,David Strathairn,Biography,2005,1.0,0.0,0.0
Ice Princess,G,98.0,0.0,6.0,Tim Fywell,Meg Cabot,Michelle Trachtenberg,Comedy,2005,1.0,0.0,0.0
A Lot Like Love,PG-13,107.0,0.0,6.6,Nigel Cole,Colin Patrick Lynch,Ashton Kutcher,Comedy,2005,1.0,0.0,0.0
Cry Wolf,PG-13,90.0,0.0,5.8,Jeff Wadlow,Jeff Wadlow,Julian Morris,Drama,2005,1.0,0.0,0.0
The Proposition,R,104.0,0.0,7.3,John Hillcoat,Nick Cave,Ray Winstone,Crime,2006,1.0,0.0,0.0
Must Love Dogs,PG-13,98.0,0.0,5.9,Gary David Goldberg,Claire Cook,Diane Lane,Comedy,2005,1.0,0.0,0.0
Roll Bounce,PG-13,112.0,0.0,6.2,Malcolm D. Lee,Norman Vance Jr.,Shad Moss,Comedy,2005,1.0,0.0,0.0
Supercross,PG-13,80.0,0.0,4.3,Steve Boyum,Ken Solarz,Steve Howey,Action,2005,1.0,0.0,0.0
Oliver Twist,PG-13,130.0,0.0,6.8,Roman Polanski,Charles Dickens,Barney Clark,Crime,2005,1.0,0.0,0.0
Last Days,R,97.0,0.0,5.8,Gus Van Sant,Gus Van Sant,Michael Pitt,Drama,2005,1.0,0.0,0.0
Angel-A,R,91.0,0.0,7.1,Luc Besson,Luc Besson,Rie Rasmussen,Comedy,2005,1.0,0.0,0.0
Me and You and Everyone We Know,R,91.0,0.0,7.3,Miranda July,Miranda July,John Hawkes,Comedy,2005,1.0,0.0,0.0
Dominion,R,117.0,0.0,5.2,Paul Schrader,William Wisher,Stellan Skarsgård,Drama,2005,1.0,0.0,0.0
Battle in Heaven,Unrated,98.0,0.0,5.6,Carlos Reygadas,Carlos Reygadas,Marcos Hernández,Crime,2005,1.0,0.0,0.0
Little Manhattan,PG,90.0,0.0,7.5,Mark Levin,Jennifer Flackett,Josh Hutcherson,Comedy,2006,1.0,0.0,0.0
Dreamer,PG,106.0,0.0,6.8,John Gatins,John Gatins,Kurt Russell,Drama,2005,1.0,0.0,0.0
Factotum,R,94.0,0.0,6.6,Bent Hamer,Charles Bukowski,Matt Dillon,Comedy,2005,1.0,0.0,0.0
Joyeux Noel,PG-13,116.0,0.0,7.7,Christian Carion,Christian Carion,Diane Kruger,Drama,2005,1.0,0.0,0.0
Dirty Love,R,91.0,0.0,3.6,John Asher,Jenny McCarthy,Jenny McCarthy,Comedy,2006,1.0,0.0,0.0
